"","animalid","Sex","Neutered","Breed","CauseDeath","Method.of.death","dateBirth","dateDeath"
"1490",2775597,"Female","Neutered","American Bulldog","Collapsed","Euthanasia",2013-05-08,2016-05-09
"1493",7123214,"Female","Entire","Staffordshire Bull Terrier","Abdominal disease","Euthanasia",2013-09-12,2017-11-01
"1495",1617895,"Female","Entire","Crossbreed","Collapsed","Euthanasia",2015-10-05,2018-12-06
"1496",3817056,"Female","Entire","Border Collie","Behaviour disorder","Euthanasia",2015-02-04,2018-06-05
"1499",11812267,"Male","Neutered","Golden Retriever","Behaviour disorder","Euthanasia",2014-04-09,2017-09-10
"1500",6844366,"Female","Entire","Miniature Poodle","Disorder not diagnsosed","Euthanasia",2013-02-11,2016-08-12
"1521",2034581,"Male","Neutered","Crossbreed","Spinal arthropathy","Euthanasia",2012-10-11,2016-04-01
"1527",12447952,"Male","Entire","Pooshit","Kidney disease","Euthanasia",2014-07-12,2018-06-02
"1529",1603562,"Female","Entire","Pug","Disorder not diagnsosed","Unassisted",2014-03-09,2017-05-11
"1530",11799481,"Female","Neutered","Border Terrier","Endocrine system disorder","Euthanasia",2012-07-11,2016-11-01
"1531",2718383,"Male","Entire","Border Collie","Brain disorder","Euthanasia",2014-03-10,2017-07-12
"1532",6741686,"Male","Entire","American Bulldog","Behaviour disorder","Euthanasia",2013-04-04,2016-10-06
"1545",1579210,"Male","Neutered","Labrador Retriever","Enteropathy","Unassisted",2014-12-01,2017-02-04
"1547",3071431,"Female","Neutered","Crossbreed","Neoplasia","Euthanasia",2013-12-08,2016-02-11
"1548",11670483,"Female","Entire","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2013-10-04,2016-02-07
"1558",11904356,"Male","Entire","Miniature Poodle","Spinal cord disorder","Euthanasia",2014-05-03,2017-04-06
"1559",1532802,"Male","Entire","Crossbreed","Neoplasia","Euthanasia",2012-07-11,2016-10-02
"1564",6960264,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2014-04-04,2017-12-07
"1614",2779597,"Male","Entire","Cocker Spaniel","Disorder not diagnsosed","Euthanasia",2013-10-02,2016-01-07
"1621",2616157,"Male","Entire","Crossbreed","Brain disorder","Euthanasia",2012-12-10,2016-05-03
"1626",11953422,"Male","Entire","Crossbreed","Traumatic injury","Euthanasia",2012-08-10,2016-04-03
"1630",3075677,"Male","Neutered","Cavalier King Charles Spaniel","Pancreatic disorder","Euthanasia",2013-11-11,2017-09-04
"1633",12056735,"Female","Neutered","Siberian Husky","Disorder not diagnsosed","Euthanasia",2012-09-12,2016-09-05
"1637",11974447,"Male","Entire","Yorkshire Terrier","Disorder not diagnsosed","Unassisted",2013-01-08,2017-04-01
"1638",1575268,"Male","Entire","Bernese Mountain Dog","Skin disorder","Euthanasia",2012-04-12,2016-09-05
"1639",11989020,"Male","Entire","Staffordshire Bull Terrier","Collapsed","Euthanasia",2014-01-07,2017-05-12
"1670",3292790,"Female","Entire","Lhasa Apso","Lower respiratory tract disorder","Unassisted",2013-07-05,2016-02-11
"1679",7081393,"Male","Entire","Yorkshire Terrier","Traumatic injury","Euthanasia",2013-04-11,2017-09-05
"1701",11974811,"Female","Neutered","Crossbreed","Traumatic injury","Unassisted",2013-06-08,2017-02-03
"1707",3041489,"Female","Neutered","Crossbreed","Haematopoietic disorder","Euthanasia",2013-03-09,2017-06-04
"1708",11643258,"Female","Entire","Crossbreed","Disorder not diagnsosed","Unrecorded",2012-01-09,2016-04-04
"1710",2778961,"Male","Entire","Staffordshire Bull Terrier","Spinal cord disorder","Euthanasia",2013-04-09,2017-09-04
"1728",12218371,"Male","Neutered","French Bulldog","Spinal arthropathy","Euthanasia",2014-06-08,2018-02-04
"1730",12102943,"Male","Neutered","Pug","Brain disorder","Euthanasia",2013-05-11,2017-03-07
"1731",1366305,"Female","Neutered","Staffordshire Bull Terrier","Traumatic injury","Unassisted",2012-05-09,2016-04-05
"1734",1185780,"Male","Entire","Jack Russell Terrier","Brain disorder","Euthanasia",2013-11-01,2016-11-09
"1736",2967089,"Male","Neutered","Labradoodle","Brain disorder","Euthanasia",2012-09-10,2016-10-06
"1740",2632047,"Female","Entire","Shih-tzu","Traumatic injury","Unassisted",2013-08-05,2017-09-01
"1743",11918161,"Male","Entire","German Shepherd Dog","Disorder not diagnsosed","Unassisted",2014-03-06,2018-06-02
"1770",2779339,"Female","Entire","Standard Doberman Pinscher","Thin","Euthanasia",2013-07-02,2016-02-11
"1775",11785492,"Male","Entire","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2013-10-06,2017-10-03
"1776",3325467,"Male","Entire","Border Collie","Brain disorder","Euthanasia",2012-11-06,2016-12-03
"1778",2544422,"Male","Neutered","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2013-11-05,2017-10-02
"1784",3089945,"Male","Neutered","French Bulldog","Spinal arthropathy","Unassisted",2013-01-09,2017-10-06
"1786",3513460,"Female","Entire","Shih-tzu","Disorder not diagnsosed","Euthanasia",2012-01-04,2016-12-01
"1801",3232904,"Male","Neutered","Bulldog","Disorder not diagnsosed","Euthanasia",2014-11-01,2017-04-11
"1804",1381008,"Male","Entire","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2013-10-09,2017-05-07
"1807",6982117,"Male","Neutered","Crossbreed","Parasite infestation","Euthanasia",2014-09-05,2018-07-03
"1809",1664888,"Female","Entire","Jack Russell Terrier","Behaviour disorder","Euthanasia",2012-07-05,2016-07-03
"1810",7007964,"Female","Entire","Labrador Retriever","Enteropathy","Euthanasia",2013-02-12,2017-03-10
"1812",2409214,"Female","Entire","Dogue de Bordeaux","Brain disorder","Euthanasia",2013-04-03,2017-05-01
"1816",1379307,"Male","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2012-01-03,2016-07-01
"1817",11983167,"Male","Entire","English Springer Spaniel","Haematopoietic disorder","Euthanasia",2014-01-07,2018-09-05
"1833",1078674,"Female","Neutered","Staffordshire Bull Terrier","Collapsed","Euthanasia",2012-12-03,2016-02-02
"1838",1469390,"Female","Neutered","Dogue de Bordeaux","Disorder not diagnsosed","Euthanasia",2014-05-01,2017-04-12
"1839",11949585,"Male","Neutered","Crossbreed","Collapsed","Euthanasia",2012-11-08,2016-10-07
"1844",2036375,"Female","Neutered","Patterdale Terrier","Behaviour disorder","Euthanasia",2012-05-12,2016-09-11
"1845",3509527,"Male","Neutered","Beagle","Brain disorder","Euthanasia",2013-05-01,2016-12-12
"1847",11803445,"Male","Entire","Crossbreed","Abdominal disease","Euthanasia",2014-03-09,2018-10-08
"1850",1477486,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2014-02-06,2018-10-05
"1865",2954054,"Female","Entire","German Shepherd Dog","Behaviour disorder","Euthanasia",2012-12-04,2016-05-04
"1869",12424712,"Male","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2012-08-03,2016-08-03
"1871",12437757,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Unassisted",2012-10-07,2016-09-07
"1873",6913092,"Female","Entire","Patterdale Terrier","Traumatic injury","Euthanasia",2012-04-09,2016-03-09
"1879",6913973,"Male","Entire","Labrador Retriever","Behaviour disorder","Euthanasia",2012-05-09,2016-04-09
"1880",11660402,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2012-09-08,2016-08-08
"1881",7064003,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2012-04-07,2016-03-07
"1883",11655085,"Female","Neutered","Maltese","Brain disorder","Euthanasia",2012-03-05,2016-02-05
"1886",11761857,"Female","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",2012-08-03,2016-08-03
"1888",3509500,"Male","Neutered","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2012-05-01,2016-05-01
"1890",11667208,"Male","Entire","Rottweiler","Mass","Euthanasia",2012-01-11,2016-01-11
"1892",11646620,"Female","Neutered","German Shepherd Dog","Neoplasia","Euthanasia",2012-07-10,2016-07-10
"1893",3839360,"Female","Neutered","Labrador Retriever","Adverse reaction to drug","Unassisted",2013-02-06,2017-02-06
"1894",6757109,"Female","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2012-12-07,2016-12-07
"1896",11749113,"Male","Entire","Miniature Schnauzer","Brain disorder","Unassisted",2012-05-06,2016-05-06
"1897",11912284,"Male","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Unrecorded",2012-04-03,2016-05-03
"1899",3829033,"Male","Entire","Beagle","Neoplasia","Euthanasia",2012-03-04,2016-04-04
"1904",7398382,"Male","Entire","French Bulldog","Enteropathy","Euthanasia",2013-01-07,2017-03-07
"1907",3839258,"Female","Entire","British Bulldog","Behaviour disorder","Euthanasia",2012-09-04,2016-11-04
"1908",12025872,"Male","Neutered","Staffordshire Bull Terrier","Brain disorder","Unassisted",2012-03-06,2016-05-06
"1910",12032472,"Female","Entire","Boxer","Heart disease","Unassisted",2012-07-10,2016-10-10
"1911",3358441,"Female","Entire","Short-Haired Chihuahua","Brain disorder","Euthanasia",2014-02-04,2018-05-04
"1912",3922006,"Male","Entire","Border Collie","Brain disorder","Euthanasia",2012-07-05,2016-10-05
"1913",1528506,"Female","Entire","Dogue de Bordeaux","Liver disorder","Euthanasia",2014-06-02,2018-10-02
"1918",12442054,"Male","Entire","English Springer Spaniel","Disorder not diagnsosed","Euthanasia",2012-01-09,2016-06-09
"1920",2671670,"Female","Entire","Neopolitan Mastiff","Heart disease","Euthanasia",2014-03-04,2018-10-04
"1942",3131347,"Female","Entire","Cocker Spaniel","Disorder not diagnsosed","Unassisted",2013-11-06,2017-09-07
"1945",3078066,"Female","Entire","Chesapeake Bay Retriever","Behaviour disorder","Euthanasia",2014-11-02,2018-12-03
"1946",11690873,"Female","Entire","Short-Haired Chihuahua","Disorder not diagnsosed","Unrecorded",2014-10-01,2018-09-02
"1947",2820897,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2012-10-02,2016-11-03
"1955",11783428,"Male","Entire","Staffordshire Bull Terrier","Liver disorder","Unassisted",2013-06-05,2017-11-06
"1977",3015198,"Male","Neutered","Chihuahua","Disorder not diagnsosed","Euthanasia",2012-12-07,2016-05-09
"1980",3464030,"Female","Entire","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2011-09-11,2016-04-01
"1985",3962176,"Female","Neutered","Crossbreed","Pancreatic disorder","Euthanasia",2012-11-04,2016-09-06
"1987",3433904,"Female","Neutered","Cavalier King Charles Spaniel","Abdominal disease","Euthanasia",2012-08-10,2016-08-12
"1989",2977290,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2013-07-04,2017-08-06
"1994",11950829,"Male","Neutered","Siberian Husky","Musculoskeletal disorder","Euthanasia",2012-02-09,2016-07-11
"2015",11651162,"Male","Entire","Crossbreed","Parasite infestation","Euthanasia",2012-11-12,2017-07-03
"2017",2605679,"Female","Neutered","Lhasa Apso","Disorder not diagnsosed","Euthanasia",2012-12-06,2016-07-09
"2018",11964633,"Male","Neutered","Bolognese Bichon","Traumatic injury","Unassisted",2013-09-01,2017-07-04
"2019",3073385,"Male","Neutered","Crossbreed","Brain disorder","Euthanasia",2012-03-09,2016-01-12
"2020",6820757,"Female","Entire","Patterdale Terrier","Complication associated with clinical care","Euthanasia",2011-11-10,2016-08-01
"2030",11768419,"Male","Entire","English Springer Spaniel","Behaviour disorder","Euthanasia",2012-07-07,2016-11-10
"2040",3034750,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2012-01-01,2016-11-04
"2054",3075191,"Female","Neutered","King Charles Spaniel","Pancreatic disorder","Euthanasia",2012-12-10,2017-05-02
"2059",1032774,"Female","Entire","Cocker Spaniel","Poor quality of life","Euthanasia",2013-08-04,2017-03-08
"2066",12092246,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2012-04-11,2017-10-03
"2067",2826622,"Male","Entire","German Shepherd Dog","Skin disorder","Euthanasia",2012-03-05,2016-06-09
"2070",11796386,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2012-01-09,2017-10-01
"2071",12099305,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2013-01-07,2017-09-11
"2079",2646716,"Male","Neutered","Jack Russell Terrier","Brain disorder","Unassisted",2012-01-05,2016-12-09
"2093",11678145,"Female","Neutered","Boxer","Poor quality of life","Euthanasia",2013-11-09,2018-02-02
"2095",11907736,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Unassisted",2011-10-11,2016-04-04
"2103",12158734,"Male","Neutered","Greyhound","Behaviour disorder","Euthanasia",2011-07-09,2016-04-02
"2105",1575342,"Female","Neutered","Cocker Spaniel","Behaviour disorder","Euthanasia",2013-01-10,2018-01-03
"2126",3457724,"Male","Entire","Long-Haired Chihuahua","Urinary system disorder","Euthanasia",2011-03-11,2016-11-04
"2151",11942261,"Male","Entire","Short-Haired Chihuahua","Brain disorder","Euthanasia",2012-09-04,2016-08-10
"2152",12112019,"Female","Neutered","Chinese Shar-Pei","Immune mediated disease","Euthanasia",2012-11-06,2016-11-12
"2153",7129182,"Male","Neutered","","Heart disease","Euthanasia",2012-12-06,2016-12-12
"2155",2972712,"Female","Entire","German Shepherd Dog","Collapsed","Unassisted",2013-10-01,2017-12-07
"2156",7119974,"Male","Neutered","Whippet","Traumatic injury","Euthanasia",2012-06-06,2016-07-12
"2158",2654508,"Female","Neutered","Border Terrier","Appetite disoder","Unassisted",2012-08-07,2017-09-01
"2159",1431824,"Male","Entire","Rottweiler","Endocrine system disorder","Euthanasia",2012-04-06,2016-07-12
"2160",3115918,"Male","Entire","Rottweiler","Behaviour disorder","Euthanasia",2011-07-07,2016-09-01
"2161",12050452,"Male","Entire","King Charles Spaniel","Brain disorder","Euthanasia",2013-02-11,2018-07-05
"2165",3048113,"Female","Neutered","Puggle","Neoplasia","Euthanasia",2012-06-07,2017-11-01
"2206",2853588,"Female","Entire","Standard Doberman Pinscher","Oral cavity disorder","Unrecorded",2013-12-06,2018-08-01
"2210",3035188,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Unassisted",2012-10-01,2016-09-08
"2213",6737467,"Male","Entire","Labrador Retriever","Brain disorder","Euthanasia",2011-05-06,2016-04-01
"2215",12443777,"Male","Entire","English Setter","Brain disorder","Euthanasia",2011-01-10,2016-02-05
"2216",1401864,"Female","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2012-01-06,2017-02-01
"2218",2663884,"Male","Entire","Plummer Terrier","Disorder not diagnsosed","Unrecorded",2012-04-11,2017-07-06
"2226",3212326,"Male","Neutered","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2011-05-06,2016-11-01
"2259",3058833,"Female","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Unrecorded",2012-08-04,2016-07-12
"2263",11667295,"Female","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2013-01-02,2017-05-10
"2268",11644925,"Male","Entire","American Bulldog","Behaviour disorder","Euthanasia",2011-02-11,2016-10-07
"2273",12432198,"Female","Entire","Crossbreed","Abdominal disease","Euthanasia",2011-01-10,2016-11-06
"2301",7397269,"Male","Neutered","Yorkshire Terrier","Traumatic injury","Unassisted",2011-04-06,2016-04-03
"2303",11410327,"Female","Entire","Pug","Enteropathy","Unrecorded",2012-01-07,2017-01-04
"2308",6737655,"Male","Neutered","Beagle","Neoplasia","Euthanasia",2011-02-07,2016-04-04
"2309",6751914,"Female","Neutered","Crossbreed","Traumatic injury","Unassisted",2011-02-12,2016-04-09
"2312",2717432,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2011-06-10,2016-10-07
"2315",2776791,"Male","Entire","Shih-tzu","Neoplasia","Unassisted",2013-04-01,2017-11-10
"2316",1655958,"Female","Neutered","Jack Russell Terrier","Behaviour disorder","Euthanasia",2013-04-01,2017-11-10
"2318",11658174,"Female","Neutered","Staffordshire Bull Terrier","Enteropathy","Unassisted",2012-02-07,2017-12-04
"2320",3017519,"Female","Entire","Bulldog","Heart disease","Euthanasia",2011-01-04,2016-11-01
"2336",6973492,"Male","Neutered","Irish Wolfhound","Collapsed","Euthanasia",2011-08-07,2016-02-05
"2337",2665051,"Male","Neutered","Staffordshire Bull Terrier","Musculoskeletal disorder","Euthanasia",2012-06-11,2017-02-09
"2339",3313692,"Female","Entire","Standard Doberman Pinscher","Brain disorder","Euthanasia",2012-05-05,2017-02-03
"2344",3214595,"Female","Entire","Cavalier King Charles Spaniel","Neoplasia","Euthanasia",2011-12-09,2016-10-07
"2345",3570339,"Male","Neutered","Jack Russell Terrier","Neoplasia","Euthanasia",2012-05-03,2017-02-01
"2349",11655863,"Female","Entire","Miniature Bulldog","Disorder not diagnsosed","Unassisted",2013-08-04,2018-07-02
"2351",1433307,"Female","Entire","Crossbreed","Mass","Euthanasia",2013-10-06,2018-11-04
"2354",3520502,"Male","Entire","Scottish Terrier","Neoplasia","Euthanasia",2012-03-02,2016-08-12
"2356",3855453,"Female","Neutered","Cocker Spaniel","Neoplasia","Euthanasia",2013-03-01,2017-09-11
"2357",12446450,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2013-01-09,2018-08-07
"2358",2699220,"Male","Entire","French Bulldog","Brain disorder","Euthanasia",2014-04-04,2019-09-02
"2359",2948393,"Male","Entire","American Bulldog","Behaviour disorder","Euthanasia",2012-01-01,2016-07-11
"2379",6858227,"Male","Entire","British Bulldog","Heart disease","Unassisted",2011-07-09,2016-06-08
"2380",11771079,"Female","Neutered","Pug","Disorder not diagnsosed","Unrecorded",2011-07-04,2016-07-03
"2383",2743356,"Female","Entire","Chihuahua","Spinal cord disorder","Euthanasia",2011-11-12,2016-11-11
"2392",1080367,"Female","Neutered","Crossbreed","Heart disease","Euthanasia",2012-04-02,2017-12-01
"2397",3055172,"Female","Neutered","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2011-02-12,2016-11-11
"2413",6795136,"Female","Entire","Cocker Spaniel","Brain disorder","Unassisted",2011-07-01,2016-02-01
"2414",2812900,"Female","Entire","Yorkshire Terrier","Disorder not diagnsosed","Unrecorded",2011-12-09,2016-06-09
"2415",12113964,"Male","Entire","Bulldog","Mass","Euthanasia",2012-06-08,2017-02-08
"2416",3040162,"Male","Neutered","German Shepherd Dog","Liver disorder","Euthanasia",2012-07-04,2017-03-04
"2417",3048128,"Female","Entire","Newfoundland","Female reproductive disorder","Euthanasia",2012-07-07,2017-06-07
"2424",3046034,"Male","Neutered","Border Collie","Behaviour disorder","Euthanasia",2012-09-06,2017-09-06
